Timestamp,Value
20240903181108,276.0
20240903181109,34.0
20240903181110,276.0
20240903181116,275.0
20240903181117,276.0
20240903181118,93.0
20240903181119,276.0
20240903181135,275.0
20240903181136,276.0
20240903181145,275.0
20240903181146,276.0
20240903181202,275.0
20240903181203,276.0
20240903181204,30.0
20240903181205,276.0
20240903181239,275.0
20240903181251,276.0
20240903181313,275.0
20240903181314,29.0
20240903181315,275.0
20240903181317,159.0
20240903181318,276.0
20240903181326,275.0
20240903181327,276.0
20240903181328,275.0
20240903181331,276.0
20240903181332,275.0
20240903181333,276.0
20240903181339,275.0
20240903181340,276.0
20240903181350,275.0
20240903181351,276.0
20240903181405,275.0
20240903181407,276.0
20240903181408,275.0
20240903181409,276.0
20240903181416,275.0
20240903181418,276.0
20240903181437,275.0
20240903181438,276.0
20240903181444,275.0
20240903181446,276.0
20240903181456,275.0
20240903181459,276.0
20240903181532,275.0
20240903181533,276.0
20240903181534,275.0
20240903181536,276.0
20240903181539,275.0
20240903181541,39.0
20240903181542,276.0
20240903181546,275.0
20240903181547,276.0
20240903181549,275.0
20240903181550,276.0
20240903181605,275.0
20240903181606,276.0
20240903181607,275.0
20240903181609,276.0
20240903181623,275.0
20240903181624,276.0
20240903181625,275.0
20240903181626,276.0
20240903181628,26.0
20240903181629,276.0
20240903181633,275.0
20240903181634,276.0
20240903181644,275.0
20240903181645,36.0
20240903181646,275.0
20240903181647,276.0
20240903181649,126.0
20240903181650,276.0
20240903181651,138.0
20240903181652,29.0
20240903181653,32.0
20240903181654,276.0
20240903181658,275.0
20240903181659,276.0
20240903181719,275.0
20240903181720,34.0
20240903181722,276.0
20240903181747,275.0
20240903181748,276.0
20240903181759,275.0
20240903181800,276.0
20240903181801,37.0
20240903181802,28.0
20240903181803,276.0
20240903181808,275.0
20240903181809,276.0
20240903181825,275.0
20240903181828,276.0
20240903181832,275.0
20240903181833,276.0
20240903181835,88.0
20240903181836,276.0
20240903181839,275.0
20240903181841,276.0
20240903181848,275.0
20240903181850,276.0
20240903181852,275.0
20240903181854,276.0
20240903181857,275.0
20240903181858,22.0
20240903181900,276.0
20240903181902,275.0
20240903181903,276.0
20240903181904,275.0
20240903181905,32.0
20240903181906,22.0
20240903181907,275.0
20240903181908,276.0
20240903181909,26.0
20240903181910,275.0
20240903181911,276.0
20240903181927,275.0
20240903181928,276.0
20240903181929,173.0
20240903181930,276.0
20240903181936,275.0
20240903181937,276.0
20240903181942,275.0
20240903181945,276.0
20240903181947,28.0
20240903181948,153.0
20240903181949,275.0
20240903181950,276.0
20240903181951,275.0
20240903181952,276.0
20240903182002,275.0
20240903182003,276.0
20240903182014,275.0
20240903182015,276.0
20240903182016,46.0
20240903182019,276.0
20240903182020,275.0
20240903182021,276.0
20240903182031,275.0
20240903182032,276.0
20240903182033,275.0
20240903182034,106.0
20240903182035,28.0
20240903182036,276.0
20240903182101,275.0
20240903182103,276.0
20240903182104,275.0
20240903182105,276.0
20240903182111,275.0
20240903182112,276.0
20240903182113,275.0
20240903182115,276.0
20240903182124,275.0
20240903182126,276.0
20240903182127,275.0
20240903182129,248.0
20240903182130,276.0
20240903182131,54.0
20240903182132,276.0
20240903182134,256.0
20240903182135,276.0
20240903182137,37.0
20240903182138,276.0
20240903182144,275.0
20240903182145,58.0
20240903182147,275.0
20240903182148,276.0
20240903182207,275.0
20240903182211,276.0
20240903182215,275.0
20240903182217,276.0
20240903182223,275.0
20240903182224,276.0
20240903182225,23.0
20240903182226,276.0
20240903182227,275.0
20240903182228,104.0
20240903182229,276.0
20240903182232,275.0
20240903182233,276.0
20240903182236,275.0
20240903182237,276.0
20240903182240,275.0
20240903182242,276.0
20240903182243,275.0
20240903182244,276.0
20240903182255,275.0
20240903182257,276.0
20240903182300,275.0
20240903182301,276.0
20240903182303,100.0
20240903182305,276.0
20240903182306,275.0
20240903182307,75.0
20240903182308,276.0
20240903182309,275.0
20240903182310,276.0
20240903182329,275.0
20240903182330,276.0
20240903182331,25.0
20240903182333,276.0
20240903182334,27.0
20240903182335,276.0
20240903182337,275.0
20240903182339,276.0
20240903182342,275.0
20240903182344,276.0
20240903182347,275.0
20240903182348,276.0
20240903182353,275.0
20240903182354,276.0
20240903182355,275.0
20240903182356,276.0
20240903182358,275.0
20240903182400,276.0
20240903182408,275.0
20240903182409,276.0
20240903182417,275.0
20240903182418,276.0
20240903182422,275.0
20240903182424,276.0
20240903182425,275.0
20240903182433,276.0
20240903182434,275.0
20240903182435,276.0
20240903182437,275.0
20240903182439,276.0
20240903182442,275.0
20240903182444,276.0
20240903182445,275.0
20240903182449,276.0
20240903182450,174.0
20240903182451,276.0
20240903182457,275.0
20240903182459,276.0
20240903182500,275.0
20240903182501,276.0
20240903182503,275.0
20240903182504,147.0
20240903182505,276.0
20240903182507,275.0
20240903182508,276.0
20240903182519,275.0
20240903182521,276.0
20240903182522,27.0
20240903182523,276.0
20240903182524,275.0
20240903182525,32.0
20240903182526,275.0
20240903182528,276.0
20240903182529,24.0
20240903182530,276.0
20240903182531,275.0
20240903182532,276.0
20240903182533,275.0
20240903182537,276.0
20240903182539,275.0
20240903182540,29.0
20240903182541,60.0
20240903182542,276.0
20240903182552,275.0
20240903182554,276.0
20240903182556,275.0
20240903182557,276.0
20240903182559,275.0
20240903182600,276.0
20240903182603,275.0
20240903182607,276.0
20240903182609,68.0
20240903182610,41.0
20240903182611,276.0
20240903182613,69.0
20240903182614,276.0
20240903182618,275.0
20240903182620,33.0
20240903182621,276.0
20240903182627,275.0
20240903182628,276.0
20240903182629,28.0
20240903182630,276.0
20240903182640,275.0
20240903182641,276.0
20240903182643,275.0
20240903182644,276.0
20240903182647,275.0
20240903182648,276.0
20240903182649,33.0
20240903182650,276.0
20240903182652,275.0
20240903182653,276.0
20240903182654,275.0
20240903182655,276.0
20240903182657,275.0
20240903182658,276.0
20240903182700,275.0
20240903182701,276.0
20240903182704,275.0
20240903182705,276.0
20240903182707,275.0
20240903182710,276.0
20240903182711,275.0
20240903182713,276.0
20240903182715,275.0
20240903182716,276.0
20240903182719,275.0
20240903182720,23.0
20240903182721,275.0
20240903182724,276.0
20240903182728,275.0
20240903182731,276.0
20240903182732,86.0
20240903182733,30.0
20240903182734,275.0
20240903182735,23.0
20240903182736,30.0
20240903182737,275.0
20240903182738,276.0
20240903182741,275.0
20240903182742,276.0
20240903182744,275.0
20240903182745,90.0
20240903182746,276.0
20240903182747,275.0
20240903182750,276.0
20240903182751,53.0
20240903182753,276.0
20240903182800,275.0
20240903182801,276.0
20240903182806,275.0
20240903182807,276.0
20240903182815,275.0
20240903182816,276.0
20240903182818,275.0
20240903182819,40.0
20240903182820,276.0
20240903182822,275.0
20240903182823,276.0
20240903182842,275.0
20240903182844,276.0
20240903182846,275.0
20240903182858,276.0
20240903182914,275.0
20240903182915,276.0
20240903182917,27.0
20240903182918,32.0
20240903182919,275.0
20240903182926,276.0
20240903182927,275.0
20240903182929,276.0
20240903182930,275.0
20240903182936,276.0
20240903182937,275.0
20240903182942,276.0
20240903182951,8.0
20240903182952,276.0
20240903182954,275.0
20240903182955,276.0
20240903182957,275.0
20240903182959,276.0
20240903183000,66.0
20240903183001,57.0
20240903183002,276.0
20240903183008,275.0