Temperature,Humidity
26.10,41.60
26.10,41.70
26.10,42.00
26.10,42.50
26.10,42.70
26.10,43.10
26.10,42.80
26.10,41.90
26.10,41.30
26.10,40.80
26.10,40.50
26.10,40.70
26.10,40.70
26.10,40.60
26.10,40.40
26.10,40.10
26.10,41.00
26.10,41.90
26.10,41.80
26.10,41.40
26.10,40.60
26.10,40.10
26.10,39.80
26.10,39.60
26.10,39.30
26.10,39.10
26.10,39.80
26.10,40.20
26.10,40.20
26.10,40.10
26.10,39.80
26.10,39.60
26.10,39.50
26.10,39.40
26.10,39.20
26.10,39.10
26.10,38.90
26.10,38.80
26.10,38.60
26.10,38.50
26.10,38.50
26.10,38.50
26.10,38.40
26.10,38.40
26.10,38.40
26.10,38.30
26.10,38.30
26.10,38.40
26.00,38.30
26.00,38.20
26.00,38.10
26.00,38.10
26.00,38.20
26.00,38.20
26.00,38.30
26.00,38.30
26.00,38.30
26.00,38.30
26.00,38.30
26.00,38.40
26.00,38.40
26.00,38.40
26.00,38.40
26.00,38.40
25.90,38.30
25.90,38.30
26.00,38.40
25.90,38.30
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.80,38.30
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.70,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.30
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.30
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.40
25.70,38.60
25.70,39.10
25.70,39.50
25.70,39.80
25.70,40.10
25.70,40.80
25.70,41.20
25.70,41.20
25.70,41.20
25.70,41.50
25.70,41.20
25.70,41.00
25.70,41.00
25.70,41.00
25.70,40.70
25.70,40.60
25.70,40.30
25.70,40.10
25.70,39.80
25.70,39.50
25.70,39.40
25.70,39.20
25.70,39.10
25.70,39.00
25.70,38.90
25.70,38.80
25.70,38.80
25.70,38.70
25.70,38.70
25.70,38.60
25.70,38.60
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.60
25.70,38.50
25.70,38.50
25.70,38.40
25.70,38.40
25.70,38.40
25.70,38.30
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.50
25.70,38.40
25.70,38.40
25.70,38.40
25.70,38.30
25.70,38.30
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.20
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.60,38.30
25.70,38.30
25.70,38.30
25.70,38.40
25.70,38.40
25.60,38.30
25.60,38.30
25.70,38.40
25.60,38.40
25.70,38.40
25.60,38.40
25.60,38.30
25.60,38.30
25.60,38.40
25.60,38.30
25.60,38.30
25.60,38.30
25.60,38.40
25.60,38.30
25.60,38.30
25.60,38.30
25.60,38.30
25.60,38.40
25.60,38.40
25.60,38.40
25.60,38.40
25.60,38.60
25.60,38.60
25.60,38.60
25.60,38.50
25.60,38.50
25.60,38.50
25.60,38.50
25.60,38.50
25.60,38.50
25.60,38.40
25.60,38.40
25.60,39.50
25.60,39.90
25.60,40.10
25.60,40.10
25.60,40.10
25.60,40.00
25.60,39.80
25.60,39.70
25.60,39.60
25.60,39.50
25.60,39.40
25.60,39.40
25.60,39.30
25.60,39.30
25.60,39.20
25.60,39.10
25.70,39.00
25.60,38.80
25.60,38.70
25.60,38.60
25.60,38.60
25.60,38.50
25.60,38.50
25.60,38.40
25.70,38.50
25.70,38.40
25.70,38.50
25.60,38.30
25.70,38.40
25.60,38.30
25.60,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.20
25.70,38.20
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.20
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.30
25.70,38.40
25.70,38.30
25.70,38.30
25.70,39.10
25.70,39.50
25.70,39.60
25.70,39.90
25.70,39.90
25.70,39.90
25.70,39.80
25.70,39.70
25.70,39.40
25.70,39.10
25.70,39.10
25.80,39.20
25.70,39.30
25.80,39.50
25.70,39.30
25.70,39.30
25.70,39.50
25.70,39.60
25.80,39.60
25.80,39.50
25.80,39.30
25.70,39.10
25.80,39.10
25.80,39.00
25.80,38.90
25.80,39.00
25.80,38.90
25.70,38.80
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.80
25.80,38.70
25.80,38.60
25.80,38.50
25.80,38.40
25.80,38.30
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.20
25.80,38.10
25.80,38.10
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.00
25.80,38.10
25.80,38.60
25.80,38.70
25.80,38.80
25.80,38.90
25.80,38.80
25.80,38.80
25.80,38.70
25.80,38.60
25.80,38.50
25.90,38.50
25.80,38.40
25.90,38.80
25.90,39.40
25.90,39.90
25.90,39.80
25.90,39.60
25.90,39.40
25.90,39.20
25.90,39.00
25.90,38.80
25.90,38.80
25.90,39.00
25.90,39.20
25.90,39.50
25.90,39.70
25.90,39.80
25.90,39.70
25.90,39.60
25.90,39.40
25.90,39.30
25.90,39.10
25.90,38.90
25.90,38.80
25.90,38.80
25.90,38.70
25.90,38.70
25.90,38.80
25.90,38.90
25.90,38.90
25.90,38.80
26.00,38.70
25.90,38.90
25.90,39.00
25.90,39.00
26.00,39.00
25.90,38.80
25.90,38.70
25.90,38.60
25.90,38.60
25.90,38.50
25.90,38.40
26.00,38.50
26.00,38.50
25.90,39.60
26.00,40.10
26.00,40.10
25.90,39.90
25.90,39.60
25.90,39.30
26.00,40.60
25.90,41.00
26.00,41.10
25.90,41.00
25.90,40.70
25.90,40.30
25.90,39.90
26.00,39.70
26.00,39.40
26.00,39.10
26.00,38.90
25.90,38.70
26.00,38.60
26.00,38.50
25.90,38.40
26.00,38.40
25.90,38.20
26.00,38.20
26.00,38.20
25.90,38.10
26.00,38.10
25.90,38.00
26.00,38.10
25.90,38.00
25.90,38.00
25.90,38.10
26.00,38.20
25.90,38.10
25.90,38.10
25.90,38.10
26.00,38.10
26.00,38.20
25.90,38.60
26.00,39.00
26.00,39.10
25.90,39.60
26.00,39.90
26.00,40.10
26.00,40.40
25.90,40.30
25.90,40.10
25.90,39.90
26.00,39.70
26.00,39.40
26.00,39.10
25.90,38.80
26.00,38.70
26.00,38.50
26.00,38.40
26.00,38.30
26.00,38.30
26.00,38.20
25.90,38.10
26.00,38.10
26.00,38.00
26.00,38.00
26.00,37.90
26.00,37.90
26.00,37.90
26.00,37.90
26.00,37.90
26.00,38.00
26.00,38.00
26.00,38.00
26.00,38.00
26.00,38.00
26.00,38.70
26.00,39.20
26.00,39.40
26.00,39.40
26.00,39.20
26.00,39.70
26.00,39.70
26.00,39.60
26.00,39.50
26.00,39.40
26.00,39.30
26.00,39.20
26.00,39.10
26.00,39.00
26.00,38.80
26.00,38.70
26.00,38.60
26.00,38.60
26.00,38.50
26.00,38.50
26.00,38.40
26.00,38.40
26.00,38.40
26.00,38.30
26.00,38.20
26.00,38.20
26.00,38.20
26.00,38.20
25.90,38.10
26.00,38.20
26.00,38.20
25.90,38.10
26.00,38.20
26.00,38.20
25.90,38.10
25.90,38.10
26.00,38.20
26.00,38.10
25.90,38.10
25.90,38.10
25.90,38.00
26.00,38.10
25.90,38.00
25.90,38.10
25.90,38.00
25.90,38.00
26.00,38.10
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.20
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.90,38.30
25.80,38.50
25.90,38.80
25.90,38.80
25.90,38.70
25.90,38.60
25.80,38.50
25.90,38.50
25.90,38.40
25.90,38.40
25.90,38.40
25.80,38.20
25.80,38.20
25.80,38.20
25.90,38.30
25.90,38.30
25.80,38.20
25.80,38.20
25.80,38.30
25.90,38.30
25.80,38.30
25.80,38.30
25.80,38.30
25.80,38.30
25.80,38.30
25.90,38.30
25.90,38.30
25.80,38.20
25.90,38.30
25.80,38.20
25.90,38.30
25.90,38.30
25.80,38.20
25.80,38.30
25.80,38.30
25.90,38.40
25.80,38.40
25.80,38.40
25.80,38.40
25.80,38.40
25.80,38.40
25.80,38.50
25.80,38.40
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.50
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.50
25.80,38.50
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.60
25.80,38.50
25.80,38.50
25.70,38.40
25.80,38.40
25.70,38.40
25.70,38.40
25.70,38.40
25.80,38.50
25.80,38.50
25.80,38.60
25.80,38.60
25.70,38.70
25.70,38.80
25.80,38.90
25.70,38.80
25.70,38.80
25.80,38.90
25.70,38.80
25.70,38.80
25.70,38.80
25.70,38.80
25.80,38.80
25.70,38.70
25.80,38.80
25.70,38.70
25.70,38.70
25.70,38.70
25.70,38.70
25.80,38.80
25.80,38.70
25.70,38.60
25.70,38.60
25.70,38.60
25.70,38.70
25.70,38.70
25.70,38.60
25.70,38.60
25.80,38.60
25.70,38.50
25.80,38.60
25.70,38.50
25.70,38.50
25.80,38.60
25.70,38.60
25.70,38.60
25.80,38.70
25.70,38.60
25.70,38.60
25.70,38.60
25.70,38.60
25.80,38.70
25.70,38.70
25.80,39.50
25.70,40.20
25.70,40.50
25.70,41.20
25.80,41.50
25.80,41.30
25.80,41.50
25.80,41.90
25.80,41.80
25.80,41.60
25.80,41.20
25.80,40.70
25.80,40.30
25.80,40.10
25.80,40.10
25.80,40.00
25.80,39.80
25.80,39.50
25.80,39.40
25.80,39.20
25.80,39.10
25.80,39.30
25.80,39.50
25.80,39.50
25.80,39.70
25.80,39.70
25.80,39.60
25.80,39.50
25.90,39.30
25.80,39.10
25.80,39.30
25.80,39.50
25.80,39.50
25.90,40.10
25.80,40.50
25.80,40.40
25.90,40.40
25.90,40.60
25.90,40.20
25.80,39.80
25.90,39.90
25.90,39.90
25.90,39.80
25.90,39.60
25.90,39.40
25.90,39.30
25.90,39.30
25.90,39.70
25.90,40.50
25.90,40.70
25.90,40.50
25.90,40.20
25.90,40.00
25.90,39.70
25.90,39.50
25.90,39.40
25.90,39.40
25.90,39.60
25.90,39.50
25.90,39.40
25.90,39.70
25.90,41.20
25.90,41.40
25.90,41.20
25.90,40.70
25.90,40.40
25.90,40.90
